restaurant_id,name,cuisine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
32f927bc-356a-47cb-8227-ab97ead89fa9,"Mosley, Prince and Monroe",Italian,Sarahmouth,Daniel Manning,24,+1-272-825-0904x193,5.0,27,True
2d845c88-3863-4fdc-a6d2-0e22a7368747,"Wiggins, Harris and Hawkins",Chinese,Hayesstad,Mary Matthews,25,(576)742-0143x471,5.0,28,True
8f867747-922c-451a-aa74-c5848f310fab,Johnson-Mccoy,Indian,East Michaelville,Tara Fischer,36,(298)412-2030,4.0,18,True
c4482970-9164-410f-bb87-daf558b20fc0,Rivers-Vargas,Indian,Watkinsborough,Jessica Gray,38,(346)981-2119,3.0,8,True
846e4e01-77e0-4ddd-93a2-4b13b2b0a7e2,Farrell and Sons,Indian,New Stephenport,Julie Logan,20,(418)604-4750,5.0,25,False
5d131ee7-b41d-4114-bc2b-cfcf248a8776,Ferguson-Davis,Italian,South David,Diamond Clark,54,600.232.0327x2939,1.0,48,True
d1c99cd8-da85-4e46-9a50-8a0d28071d64,Petersen-Mccullough,Italian,North Jasmineberg,Jason Banks,47,001-569-628-4599x760,1.0,4,False
3dd195dd-9835-4627-8409-aa64111f38a9,"Hood, Young and Reynolds",Indian,New Jenniferview,Diana Ramos,35,001-571-774-7651x1552,2.0,46,True
06050757-8e54-4013-b415-987f231fb43e,Harris-Larson,Indian,New Danielle,Mitchell Gibson,42,001-499-880-0762x4887,5.0,34,False
38dc3ed0-6ff3-4f53-8211-525c5746f137,"Ward, Brown and Carter",Chinese,Davidburgh,Ashlee Gates,32,001-714-455-1141x249,3.0,41,False
b1cc9cd8-b701-4a33-a4d7-559abdc3965d,Clay and Sons,Indian,East Linda,Gerald Peters,18,001-559-593-0431x8165,1.0,36,False
3497d444-9bc3-42c1-bd90-a83b7b62f97e,Potter LLC,Mexican,Schultzshire,Julia Nguyen,50,620.934.2760x9661,3.0,32,False
52b72f8d-b642-4eb6-9e97-f29aa9aa228c,"Price, Lee and Hardy",Indian,Clementsstad,Alejandro Acevedo,28,(508)948-7650x2590,1.0,45,False
8501f3af-56d1-4b94-b95f-b5e02332f8db,Burch-Vasquez,Italian,Ernestmouth,Amy Hayes,24,426-228-8214,5.0,24,True
84ffb613-d04b-42ae-90ab-b4c9e0731168,Jenkins Group,Italian,North James,Ryan Conway,12,474.387.2769x2049,4.0,25,False
cb8040a3-71be-48e7-b900-5eb5e85e9618,Stevenson LLC,Mexican,Mcfarlandport,Brenda Morrow,53,001-302-930-9676,1.0,30,False
5d4b0393-aa9b-4427-b2ac-b5ba4f5cd056,Rice Inc,Chinese,North Danielleborough,Laura Aguilar,53,(313)992-0469,1.0,50,False
2cc22739-cff9-4e5a-9e99-0c54a169eb10,"Wagner, Bryant and Wilson",Arabian,New Donnaburgh,Katherine Elliott,52,+1-383-641-7189,2.0,43,False
d4913c40-9dd9-4801-9617-569571d7b9e8,"Griffin, Miller and Rodriguez",Indian,Erikafurt,Ashlee Ellis,48,+1-794-676-8249x8952,1.0,24,False
b0ce592c-c3ff-41e0-be1d-de4fbf6836c4,Young Group,Arabian,Jennifermouth,Ernest Bailey,56,001-343-319-3319x065,3.0,36,True
6631df16-df20-45d7-91ed-edcbf3c43bc2,Frey-Flores,Arabian,West Christian,Denise Black,33,(337)805-0341x2656,5.0,24,True
4510de8d-3c7e-4e73-b9df-213eaaf5e623,Taylor Group,Arabian,Wrightshire,Annette Miller,32,001-799-609-8588x5261,1.0,9,False
03673477-c34e-4f74-acaf-94de62c01e69,"Phillips, Stewart and Rodriguez",Italian,Port Alexanderborough,Kristen Ferguson,55,+1-209-974-6173x8089,2.0,26,True
84558ff4-7a95-40cc-9726-5b39fa35294c,Mullins Inc,Chinese,Lisachester,Marcus Williams,47,(671)416-7949,1.0,25,True
